Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Cluster name,Component,Uptime,Date
Imported item 10,imported-item-10,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc759d42b205029fcc91,Sat Oct 05 2024 06:28:05 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:05 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Feature Flags (FF),100.00,Aug 2024
Imported item 10,imported-item-10-93345,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6704b610cf53e91a246a0f2d,Tue Oct 08 2024 04:33:20 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 04:33:20 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 04:38:27 GMT+0000 (Coordinated Universal Time),Prod 1,Feature Flags (FF),100.00,Sep 2024
Imported item 10,imported-item-10-8878c,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,671f7311c404bc493a4ac8e7,Mon Oct 28 2024 11:18:41 GMT+0000 (Coordinated Universal Time),Mon Oct 28 2024 11:18:41 GMT+0000 (Coordinated Universal Time),Mon Oct 28 2024 11:26:47 GMT+0000 (Coordinated Universal Time),Prod Eu1,Feature Flags (FF),100,Sep 2024
Imported item 10,imported-item-10-00939,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b4b3143cccc9fdde438,Tue Nov 12 2024 08:01:15 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:15 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 1,Continuous Integration Enterprise(CIE) - Linux Cloud Builds,100,Aug 2024
Imported item 100,imported-item-100,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d79f551a16b03178a,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,,100.00,Jan 2024
Imported item 100,imported-item-100-6af21,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b56bdf8646a29ece599,Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Linux Cloud Builds,100,Feb 2024
Imported item 101,imported-item-101,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d283d92481cf9fd29,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Continuous Delivery - Next Generation (CDNG),100.00,Jan 2024
Imported item 101,imported-item-101-46fa4,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b56a65b50486e09d043,Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Mac Cloud Builds,100,Jan 2024
Imported item 102,imported-item-102,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d7b1cad04fc2669da,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Cloud Cost Management (CCM),100.00,Jan 2024
Imported item 102,imported-item-102-0e7a5,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b56a83c7efc46a0a8f4,Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Windows Cloud Builds,100,Jan 2024
Imported item 103,imported-item-103,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d8885f25dfb75993c,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Continuous Error Tracking (CET),100.00,Jan 2024
Imported item 103,imported-item-103-44109,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b5600e82f21c23908ae,Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Linux Cloud Builds,100,Jan 2024
Imported item 104,imported-item-104,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d7b1cad04fc266a13,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Chaos Engineering,100.00,Jan 2024
Imported item 104,imported-item-104-06e48,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b57a5f482ea8d352c77,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Mac Cloud Builds,100,Dec 2023
Imported item 105,imported-item-105,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d6b2dabac3fd6b428,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Continuous Integration Enterprise(CIE) - Cloud Builds,100.00,Jan 2024
Imported item 105,imported-item-105-df8ce,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b56d4f2c1899923e73c,Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:26 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Windows Cloud Builds,100,Dec 2023
Imported item 106,imported-item-106,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d8320a06d980d37d0,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Continuous Integration Enterprise(CIE) - Self Hosted Runners,100.00,Jan 2024
Imported item 106,imported-item-106-697c6,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b577830f623db2354ca,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Linux Cloud Builds,100,Dec 2023
Imported item 107,imported-item-107,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7ddc8550a44bd271ca,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Custom Dashboards,100.00,Jan 2024
Imported item 107,imported-item-107-cb71c,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b574595a1ac8e191b55,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Mac Cloud Builds,99.98,Nov 2023
Imported item 108,imported-item-108,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d93f57e47ce244499,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Feature Flags (FF),100.00,Jan 2024
Imported item 108,imported-item-108-84586,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b57c7043e5d40346849,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 3,Continuous Integration Enterprise(CIE) - Windows Cloud Builds,100,Nov 2023
Imported item 109,imported-item-109,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d774628cdac823676,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Security Testing Orchestration (STO),100.00,Jan 2024
Imported item 109,imported-item-109-b99bd,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b57f530eb1f7df0bb79,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 4,Continuous Integration Enterprise(CIE) - Mac Cloud Builds,100,Oct 2024
Imported item 11,imported-item-11,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc759d42b205029fcc96,Sat Oct 05 2024 06:28:05 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:05 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Security Testing Orchestration (STO),100.00,Aug 2024
Imported item 11,imported-item-11-980a9,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6704b610fe63bd23cc092878,Tue Oct 08 2024 04:33:20 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 04:33:20 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 04:38:27 GMT+0000 (Coordinated Universal Time),Prod 1,Security Testing Orchestration (STO),100.00,Sep 2024
Imported item 11,imported-item-11-a8002,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,671f7311f4bfa61598baf414,Mon Oct 28 2024 11:18:41 GMT+0000 (Coordinated Universal Time),Mon Oct 28 2024 11:18:41 GMT+0000 (Coordinated Universal Time),Mon Oct 28 2024 11:26:47 GMT+0000 (Coordinated Universal Time),Prod Eu1,Security Testing Orchestration (STO),100,Sep 2024
Imported item 11,imported-item-11-0b9e5,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b4b5ce9e10fc5e67c8b,Tue Nov 12 2024 08:01:15 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:15 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 1,Continuous Integration Enterprise(CIE) - Mac Cloud Builds,100,Jul 2024
Imported item 110,imported-item-110,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7d6b2dabac3fd6b494,Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:13 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Service Reliability Management (SRM),100.00,Jan 2024
Imported item 110,imported-item-110-325b0,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b57ded73821e627aabf,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 4,Continuous Integration Enterprise(CIE) - Windows Cloud Builds,100,Oct 2024
Imported item 111,imported-item-111,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7e7ed7e07717430984,Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Internal Developer Portal (IDP),100.00,Jan 2024
Imported item 111,imported-item-111-f1376,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b57cba79aa9695aced5,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 4,Continuous Integration Enterprise(CIE) - Linux Cloud Builds,100,Oct 2024
Imported item 112,imported-item-112,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7eff0f2f3035517657,Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Infrastructure as Code Management (IaCM),100.00,Jan 2024
Imported item 112,imported-item-112-40b6e,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b57ec2ab8a811223e6f,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 4,Continuous Integration Enterprise(CIE) - Mac Cloud Builds,100,Sep 2024
Imported item 113,imported-item-113,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7e774628cdac8236d2,Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Software Supply Chain Assurance (SSCA),,Jan 2024
Imported item 113,imported-item-113-40716,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b576ef7d5044382f365,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 4,Continuous Integration Enterprise(CIE) - Windows Cloud Builds,100,Sep 2024
Imported item 114,imported-item-114,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7edc8550a44bd27211,Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,,99.97,Dec 2023
Imported item 114,imported-item-114-b18f4,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b57a19b3d93b3450096,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 4,Continuous Integration Enterprise(CIE) - Linux Cloud Builds,100,Sep 2024
Imported item 115,imported-item-115,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,6700dc7ea24e056407ec82e5,Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 06:28:14 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 08:22:01 GMT+0000 (Coordinated Universal Time),Prod 1,Continuous Delivery - Next Generation (CDNG),99.98,Dec 2023
Imported item 115,imported-item-115-960f8,6700dc16b83ab0f4752886d2,64ebc0980f9044a1a914f51a,67330b57ceadea6916b78799,Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 08:01:27 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2024 10:40:19 GMT+0000 (Coordinated Universal Time),Prod 4,Continuous Integration Enterprise(CIE) - Mac Cloud Builds,99.98,Aug 2024
